Country,Embassy Name,Embassy Address,Google Maps URL
Greece,Embassy of Germany,"Ipsilantou 10, Athina 106 75, Greece",https://www.google.com/maps/place/?q=place_id:ChIJ0fyhx0a9oRQRHw_THZUOcYc
Greenland,Embassy of the Federal Republic of Germany,"2 Berlin St, Al Gabalayah, Zamalek, Cairo Governorate 4270101, Egypt",https://www.google.com/maps/place/?q=place_id:ChIJ6Z-7vuBAWBQRzMXMOdBfsmQ
Greenland,Embassy of Germany,"Ha-Shlosha St 2, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJITiyCoNLHRURuTFSAnIK5qU
Guatemala,Embassy of Germany,"Edificio Reforma 10, Nivel 10, Avenida La Reforma 9-55, Cdad. de Guatemala 01010, Guatemala",https://www.google.com/maps/place/?q=place_id:ChIJAxotFc6jiYURUY9Cas6oZlg
Hong Kong,Consulate General of the Federal Republic of Germany,"21/F, United Centre, 95 Queensway, Admiralty, Hong Kong",https://www.google.com/maps/place/?q=place_id:ChIJhfa5qGcABDQRiAfjGIicsAA
Honduras,Embassy of Germany,"925, Torre Alfa, Avenida Republica Dominicana, Tegucigalpa 11101, Honduras",https://www.google.com/maps/place/?q=place_id:ChIJA-0wBCijb48R7JFGrhgVJbA
Croatia,Embassy of Germany,"Ul. Grada Vukovara 64, 10000, Zagreb, Croatia",https://www.google.com/maps/place/?q=place_id:ChIJCbvK5lrWZUcR404gWKm6e0o
Haiti,Embassy of Germany,"GP49+PQ5, Port-au-Prince, Haiti",https://www.google.com/maps/place/?q=place_id:ChIJ-80Zd4nouY4RERythaONj6c
British Indian Ocean Territory,Embassy Of The Federal Republic Of Germany,"6, 50G, Shantipath, Chanakyapuri, New Delhi, Delhi 110021, India",https://www.google.com/maps/place/?q=place_id:ChIJS3R_j2QdDTkRMQuf7ziciFQ
Ireland,Embassy of Germany,"31 Trimleston Ave, Trimleston Or Owenstown, Booterstown, Co. Dublin, A94 TX94, Ireland",https://www.google.com/maps/place/?q=place_id:ChIJp6h749UIZ0gRBK4At6qK__U
"Iran, Islamic Republic of",Embassy of Germany,"Tehran Province, Tehran, Javadiyeh، No. 324, Ave، Ferdowsi, Iran",https://www.google.com/maps/place/?q=place_id:ChIJFwXpNIUBjj8RJiVMA-colcg
Iceland,Embassy of Germany,"43R7+J4Q, Laufásvegur, 101 Reykjavík, Iceland",https://www.google.com/maps/place/?q=place_id:ChIJo7qLmDML1kgRjhz_QKBpw84
Israel,Embassy of Germany,"Ha-Shlosha St 2, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJITiyCoNLHRURuTFSAnIK5qU
Italy,Embassy of Germany,"Via S. Martino della Battaglia, 4, 00185 Roma RM, Italy",https://www.google.com/maps/place/?q=place_id:ChIJj8QweAVhLxMRzlWFsPN00mU
Jamaica,Embassy of Germany,"10 Waterloo Road (P. O. Box 444) Waterloo Rd, Kingston, Jamaica",https://www.google.com/maps/place/?q=place_id:ChIJkUDOoLI_244RxJyJTEBgwBY
Jersey,Embassy of Germany,"Ha-Shlosha St 2, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJITiyCoNLHRURuTFSAnIK5qU
Jersey,Embassy of the Federal Republic of Germany,"2 Berlin St, Al Gabalayah, Zamalek, Cairo Governorate 4270101, Egypt",https://www.google.com/maps/place/?q=place_id:ChIJ6Z-7vuBAWBQRzMXMOdBfsmQ
Japan,Embassy of Germany,"4 Chome-5-10 Minamiazabu, Minato City, Tokyo 106-0047, Japan",https://www.google.com/maps/place/?q=place_id:ChIJqWpg0AyLGGARy6Nv7U_03F0
Japan,Consulate General of Federal Republic of Germany in Osaka,"Japan, 〒531-0076 Osaka, Kita Ward, Oyodonaka, 1 Chome−1−88 3501 梅田スカイビル タワーイースト35F",https://www.google.com/maps/place/?q=place_id:ChIJq7erkYjmAGARmfgdYfBxnWQ
Kazakhstan,Embassy of Germany,"Cosmonauts St 62, Astana 020000, Kazakhstan",https://www.google.com/maps/place/?q=place_id:ChIJsQ2PtbmGRUIRJuhOJmmV7GU
Kenya,Embassy of Germany,"Riverside Drive 113, Kenya",https://www.google.com/maps/place/?q=place_id:ChIJdwDR1lgXLxgR8PRqOJ6UG3U
Kyrgyzstan,Embassy of Germany,"Orion Business Center, 8. Stock, 21 Erkindik Ave, Bishkek 720040, Kyrgyzstan",https://www.google.com/maps/place/?q=place_id:ChIJcS7So9q3njgRFYTrtt9IdYE
