Country,Embassy Name,Embassy Address,Google Maps URL
Finland,Embassy of Brazil,"Itäinen Puistotie 4 B 1, 00140 Helsinki, Finland",https://www.google.com/maps/place/?q=place_id:ChIJv203UMcLkkYRxa2f3FAaLu4
Gabon,Embassy of Brazil,"CCP9+83M, Libreville, Gabon",https://www.google.com/maps/place/?q=place_id:ChIJx4ZDSS87fxARCUj_x3H6pts
United Kingdom,Embassy of Brazil,"14-16 Cockspur St, St. James's, London SW1Y 5BL, United Kingdom",https://www.google.com/maps/place/?q=place_id:ChIJv1XzCzMFdkgRhcISnThwvXc
Georgia,Consulate General of Brazil,"3500 Lenox Rd NE #800, Atlanta, GA 30326, United States",https://www.google.com/maps/place/?q=place_id:ChIJJZlNGVoP9YgRgq2CtZ4Fzak
Ghana,Embassy of the Federative Republic of Brazil in Accraسفارة البرازيل,"1 Templesi Ln, Accra, Ghana",https://www.google.com/maps/place/?q=place_id:ChIJszPPs6mb3w8Rhhtu5C0aJ74
Guinea,Embassy of Brazil,"Embaixada do Brasil, Bissau, Guinea-Bissau",https://www.google.com/maps/place/?q=place_id:ChIJqbzuMSrF5g4RTwsZCuWoNKQ
Guinea,Embassy of Brazil,"QQ2M+373, Malabo, Equatorial Guinea",https://www.google.com/maps/place/?q=place_id:ChIJ9cacMuWeZhAR56qcivpP0Hc
Guinea-Bissau,Embassy of Brazil,"Embaixada do Brasil, Bissau, Guinea-Bissau",https://www.google.com/maps/place/?q=place_id:ChIJqbzuMSrF5g4RTwsZCuWoNKQ
Equatorial Guinea,Embassy of Brazil,"QQ2M+373, Malabo, Equatorial Guinea",https://www.google.com/maps/place/?q=place_id:ChIJ9cacMuWeZhAR56qcivpP0Hc
Greece,Embassy of Brazil,"Leof. Vasilissis Sofias 23, Athina 106 74, Greece",https://www.google.com/maps/place/?q=place_id:ChIJ23ckzUC9oRQR6HuUnr4sSnk
Grenada,Embassy Of The Federative Republic Of Brazil,"26CJ+44F, The Lime, Grenada",https://www.google.com/maps/place/?q=place_id:ChIJO2wzGs0hOIwR8c5lw3lrJcs
Guatemala,Embassy of Brazil,"2 Avenida 20-13, Cdad. de Guatemala 01010, Guatemala",https://www.google.com/maps/place/?q=place_id:ChIJ82-erNyjiYURlPdaP2AyB4g
Guatemala,Embassy of Brazil,"HFHH+J56, Avenida Las Americas, Cdad. de Guatemala, Guatemala",https://www.google.com/maps/place/?q=place_id:ChIJseo8c-OjiYURuPxHX059Q9U
French Guiana,Brazilian Consulate General,"Le Clos D'Angele, 91 Chem. Saint-Antoine, Cayenne 97300, French Guiana",https://www.google.com/maps/place/?q=place_id:ChIJi1-tfrg8Eo0RwVGjoJ1H-X8
Guyana,Embassy of Brazil in Georgetown / Embaixada do Brasil em Georgetown,"308 Church St, Georgetown, Guyana",https://www.google.com/maps/place/?q=place_id:ChIJ75xHs0Tvr40RhKxKLH19jFs
Hong Kong,Consulate General of Brazil,"2021, Sun Hung Kai Centre, 2014, 30 Harbour Rd, Wan Chai, Hong Kong",https://www.google.com/maps/place/?q=place_id:ChIJT5Whg1kABDQRo1wc8xAi1vg
Honduras,Embassy of Brazil,"Calle República Del Brasil, 2301, Colonia Palmira, 2 Calle, Tegucigalpa, Honduras",https://www.google.com/maps/place/?q=place_id:ChIJSSgKoMOib48RUIxbCd6Ak20
Croatia,Embaixada do Brasil - Veleposlanstvo Savezne Republike Brazil,"Galleria Business Centar, Trg Drage Iblera 10 8 andar, 10000, Zagreb, Croatia",https://www.google.com/maps/place/?q=place_id:ChIJIWPn0_7WZUcRxud2Ngf7L1Q
Croatia,Brazilian Embassy in Zagreb,"Trg Drage Iblera, 10/ 8 kat. Galleria Business Center, 10000, Zagreb, Croatia",https://www.google.com/maps/place/?q=place_id:ChIJVZ64NwvXZUcR9fmtB4eoIwU
Haiti,Embassy of Brazil,"GP79+FRM, Port-au-Prince, Haiti",https://www.google.com/maps/place/?q=place_id:ChIJq2RqwofouY4RnK5GXQXW9og
Hungary,Brazilian Embassy,"Budapest, Szabadság tér 7, 1054 Hungary",https://www.google.com/maps/place/?q=place_id:ChIJydhZlRTcQUcRyOeub22QJPQ
Indonesia,Embassy of Brazil,"Menara Mulia Lt.16, Jl. Jend. Gatot Subroto Kav. 9, RT.2/RW.4, Karet Semanggi, RT.2/RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJ-3wzO1bxaS4ROWk4e_KJig8
India,Consulate General of Brazil,"No.12B, 12th Floor, Bakhtawar Building, RN Goenka Marg, Opp. Oberoi Hotel, Nariman Point, Mumbai, Maharashtra 400021, India",https://www.google.com/maps/place/?q=place_id:ChIJdSIzOt7R5zsROYisyy2AGZA
"Iran, Islamic Republic of",Embassy of The Federative Republic of Brazil,"Tehran Province, Tajrish, District 1, Yekta, RC4C+GG7, Iran",https://www.google.com/maps/place/?q=place_id:ChIJa-hb3wQGjj8R1juT590RJvc
Iraq,Brazilian Embassy,"8978+9X9, Kindi St, Baghdad, Iraq",https://www.google.com/maps/place/?q=place_id:ChIJj6Pu6gZ_VxURwPWl3EK-yd8
Israel,Consulate of Brazil,"Bank Discount Tower, Yehuda ha-Levi St 23, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJLcaJ-JxMHRURfH6tx4bJ_sE
Italy,Embassy of Brazil,"Piazza Navona, 14, 00186 Roma RM, Italy",https://www.google.com/maps/place/?q=place_id:ChIJlQG8809gLxMRePqEAgf32Ug
Italy,Consulate General of Brazil,"Piazza di Pasquino, 8, 00186 Roma RM, Italy",https://www.google.com/maps/place/?q=place_id:ChIJx48ZYkVgLxMRI15hyO6lasE
Italy,Embassy of Brazil to the Holy See,"Via della Conciliazione, 22, 00193 Roma RM, Italy",https://www.google.com/maps/place/?q=place_id:ChIJdQkhcV1gLxMRzk6ME47Lzn8
Jamaica,Embassy of Brazil,"23 Millsborough Cres, Kingston, Jamaica",https://www.google.com/maps/place/?q=place_id:ChIJx6W3wug-244RAkVAK0jYR2Y
Jersey,Consulate General of Brazil in New York,"225 E 41st St, New York, NY 10017, United States",https://www.google.com/maps/place/?q=place_id:ChIJ6RJ0aQNZwokRMlP9sirzjEA
Japan,Embassy of the Federative Republic of Brazil in Japan,"Japan, 〒107-0061 Tokyo, Minato City, Kita-Aoyama, 2 Chome−11−12 ブラジル大使館",https://www.google.com/maps/place/?q=place_id:ChIJ-4jHI5mMGGARI-dLuTQqmMI
Japan,Consulate General of the Federative Republic of Brazil in Tokyo,"Japan, 〒141-0022 Tokyo, Shinagawa City, Higashigotanda, 1 Chome−13−12, Ichigo Gotanda Building, 2F",https://www.google.com/maps/place/?q=place_id:ChIJqzGxofuKGGARnKf4sGtn-RQ
Kazakhstan,"Embassy of Brazil, Astana","Qabanbay Batyr Ave 6/1, Astana 020000, Kazakhstan",https://www.google.com/maps/place/?q=place_id:ChIJAQCwvLmGRUIRlEA7e-m4PtU
Kenya,Embassy of Brazil in Nairobi,"123 Gardenia Rd, Nairobi, Kenya",https://www.google.com/maps/place/?q=place_id:ChIJ9c9fg7IXLxgRoHB0gM0B4_U
"Korea, Republic of",주한 브라질 대사관 / Embassy of Brazil in Korea,"73 Cheongwadae-ro, Jongno-gu, Seoul, South Korea",https://www.google.com/maps/place/?q=place_id:ChIJCwRzh8aifDURQa9549qldj4
Kuwait,Embassy of Brazil,"46-56 116 St, Mubarak Al-Abdullah, Kuwait",https://www.google.com/maps/place/?q=place_id:ChIJmSn2x0Kezz8RyPc-pNG0IQ4
Kuwait,Brazilian Embasaay,"46-56 116 St, Mubarak Al-Abdullah, Kuwait",https://www.google.com/maps/place/?q=place_id:ChIJ81zbxUKezz8RVX-e5_TsZmc
Lebanon,Brazilian embassy,"VG9Q+C9H, Lebanon",https://www.google.com/maps/place/?q=place_id:ChIJIyl89rkXHxURUGnOD1ahKic
