Country,Embassy Name,Embassy Address,Google Maps URL
Guatemala,Embassy and Consulate of Egypt in Guatemala,"Apartment 502, Cobella Building 5th Avenue 10-84 Zone 14 Ciudad de Guatelama Guatemala, 5 Avenida, Cdad. de Guatemala, Guatemala",https://www.google.com/maps/place/?q=place_id:ChIJG6u5WPujiYURrh-47rFzVZI
Hong Kong,Egypt Consulate,"255-257 Gloucester Rd, Causeway Bay, Hong Kong",https://www.google.com/maps/place/?q=place_id:ChIJG8I_AlcABDQR8tasR0vX7P8
Croatia,Embassy of Egypt,"Ulica Stjepana Babonića 58, 10000, Zagreb, Croatia",https://www.google.com/maps/place/?q=place_id:ChIJWxKpxanXZUcR4nB9NzCT4IQ
Haiti,Embassy of Egypt,"3521 International Ct NW, Washington, DC 20008, United States",https://www.google.com/maps/place/?q=place_id:ChIJB76KksXJt4kR8Q6wDQp29a0
Hungary,Embassy of Arab Republic of Egypt,"Budapest, Istenhegyi út 7/b, 1125 Hungary",https://www.google.com/maps/place/?q=place_id:ChIJz4ziaTbcQUcRs_aqEJ3YcyE
Indonesia,Embassy of Egypt,"Jl. Teuku Umar No.68, RT.5/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJLVOtLhb0aS4RlcP5psFFbXY
Isle of Man,"Consulate General of Egypt in Eilat, Israel","Efroni St 68, Eilat, Israel",https://www.google.com/maps/place/?q=place_id:ChIJH-tglRtyABURIcEGGv7E6SM
India,Embassy of Egypt,"1-50 M, Niti Marg, Near Akabr Bhavan, Chanakyapuri, New Delhi, Delhi 110021, India",https://www.google.com/maps/place/?q=place_id:ChIJmShjrnwdDTkRRHWQX-3Kjeo
India,Consulate General of Egypt in Mumbai,"Benhur Apartment, 101 Benhur Apartments, 32, Narayan Dabholkar Rd, Navshanti Nagar, Malabar Hill, Mumbai, Maharashtra 400006, India",https://www.google.com/maps/place/?q=place_id:ChIJo0tnpfrN5zsRyxc75lSHmxE
Ireland,Embassy of the Arab Republic of Egypt,"12 Clyde Rd, Ballsbridge, Dublin 4, D04 P302, Ireland",https://www.google.com/maps/place/?q=place_id:ChIJn_ean7gOZ0gR8D4KUfsGdAg
"Iran, Islamic Republic of",Embassy of Egypt,"Basel St 54, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJw6AW54xLHRURtACrj2iQlVE
Iraq,Embassy of Egypt,"896W+FC2, Baghdad, Iraq",https://www.google.com/maps/place/?q=place_id:ChIJdVOpZmF_VxURQBSqhw_f2JU
Iceland,"Consulate General of Egypt in Eilat, Israel","Efroni St 68, Eilat, Israel",https://www.google.com/maps/place/?q=place_id:ChIJH-tglRtyABURIcEGGv7E6SM
Iceland,Egyptian Consulate القنصلية المصرية,"G2R3+4FP, Aqaba, Jordan",https://www.google.com/maps/place/?q=place_id:ChIJd3NFDy9wABURYQSvHpBH9Kk
Iceland,Embassy of Egypt,"Basel St 54, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJw6AW54xLHRURtACrj2iQlVE
Israel,Embassy of Egypt,"Basel St 54, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJw6AW54xLHRURtACrj2iQlVE
Israel,"Consulate General of Egypt in Eilat, Israel","Efroni St 68, Eilat, Israel",https://www.google.com/maps/place/?q=place_id:ChIJH-tglRtyABURIcEGGv7E6SM
Italy,Embassy of the Arab Republic of Egypt ',"Via Salaria, 267, 00199 Roma RM, Italy",https://www.google.com/maps/place/?q=place_id:ChIJG9181j9hLxMRhBPMtb2vlcs
Jersey,"Consulate General of Egypt in Eilat, Israel","Efroni St 68, Eilat, Israel",https://www.google.com/maps/place/?q=place_id:ChIJH-tglRtyABURIcEGGv7E6SM
Jordan,Egyptian Consulate القنصلية المصرية,"G2R3+4FP, Aqaba, Jordan",https://www.google.com/maps/place/?q=place_id:ChIJd3NFDy9wABURYQSvHpBH9Kk
Jordan,Embassy of Egypt,"Cairo St 27, Amman, Jordan",https://www.google.com/maps/place/?q=place_id:ChIJn6YFUI6gHBURtBxGpY_LaHo
Japan,Embassy of Egypt,"1 Chome-5-4 Aobadai, Meguro City, Tokyo 153-0042, Japan",https://www.google.com/maps/place/?q=place_id:ChIJEY89Mk6LGGARlJQ4cw6Y1KA
Kazakhstan,Embassy of the Arab Republic of Egypt,"Sarayshyq St 30/1, Astana 020000, Kazakhstan",https://www.google.com/maps/place/?q=place_id:ChIJ56X0RaGGRUIRCn4KT65XCWo
Kenya,The Embassy Of The Arab Republic Of Egypt,"Riruta Othaya Road Off Gitanga Road Dagoretti South, Kenya",https://www.google.com/maps/place/?q=place_id:ChIJJ4ySmw8aLxgRup9zs_HAzjQ
Kenya,Egyptian Embassy,"Othaya Rd, North, Kenya",https://www.google.com/maps/place/?q=place_id:ChIJb8NQG6sbLxgRbZ_eeMwtET4
Kyrgyzstan,"Consulate General of Egypt in Eilat, Israel","Efroni St 68, Eilat, Israel",https://www.google.com/maps/place/?q=place_id:ChIJH-tglRtyABURIcEGGv7E6SM
Saint Kitts and Nevis,"Consulate General of Egypt in Eilat, Israel","Efroni St 68, Eilat, Israel",https://www.google.com/maps/place/?q=place_id:ChIJH-tglRtyABURIcEGGv7E6SM
