Country,Embassy Name,Embassy Address,Google Maps URL
Côte d'Ivoire,Consulat général de France,"8XGM+78G, Abidjan, Côte d’Ivoire",https://www.google.com/maps/place/?q=place_id:ChIJbT28WbrrwQ8R2SdibXepetw
Cameroon,Embassy of France,"Plateau, Atemengue, Yaoundé, Cameroon",https://www.google.com/maps/place/?q=place_id:ChIJE42Ti5LPixARvFOJKUAZsFI
"Congo, The Democratic Republic of the",Embassy of France,"Avenue du, Ave Colonel Mondjiba, Kinshasa, Congo - Kinshasa",https://www.google.com/maps/place/?q=place_id:ChIJk94tatYzahoRwq8SiKHDv-4
Congo,Embassy of France,"Avenue du, Ave Colonel Mondjiba, Kinshasa, Congo - Kinshasa",https://www.google.com/maps/place/?q=place_id:ChIJk94tatYzahoRwq8SiKHDv-4
Congo,Embassy of France,"Ave Alfassa, Brazzaville, Congo - Brazzaville",https://www.google.com/maps/place/?q=place_id:ChIJ-Qh_Xw4zahoRiOhbsiIIBaw
Colombia,"Embassy of France, Bogotá","Cra. 11 #93-12, Bogotá, Colombia",https://www.google.com/maps/place/?q=place_id:ChIJpXFsdo6aP44Ri70NQfQhaE4
Colombia,Consulate of France in Cali,"Av. 3 Nte. #n° 8N-24, Granada, Cali, Valle del Cauca, Colombia",https://www.google.com/maps/place/?q=place_id:ChIJ4SB382-mMI4RAL3dQa7tFxo
Comoros,Embassy of France,"Boulevard de Strasbourg, Moroni, Comoros",https://www.google.com/maps/place/?q=place_id:ChIJA4AIOlH5mBgRoL9wR2GKNZk
Cabo Verde,Ambassade de France / Embaixada da França,"Quartier du Plateau 28 Tenente Valadim Praia Santiago, 0192, Cape Verde",https://www.google.com/maps/place/?q=place_id:ChIJuYq0zUeZNQkRBXen1PbCRl0
Costa Rica,Embassy of France,"De la Mitsubishi - 200m sur y 25m oeste, San José Province, Curridabat, 1000, Costa Rica",https://www.google.com/maps/place/?q=place_id:ChIJ0eldDZPjoI8RidIHDMHCLCg
Cuba,Embassy of France,"312 Calle 14, La Habana, Cuba",https://www.google.com/maps/place/?q=place_id:ChIJT6VdwTx3zYgR4JPESAI9mLo
Cayman Islands,Ambassade de France / Embassy of France,"4101 Reservoir Rd NW, Washington, DC 20007, United States",https://www.google.com/maps/place/?q=place_id:ChIJc8U1As63t4kRBfl0dgCjKeI
Cyprus,Ambassade de France,"34 Demostheni Severi av, 2ème Étage, Nicosia 1080, Cyprus",https://www.google.com/maps/place/?q=place_id:ChIJd5dBE_kZ3hQR5wY98GGJCto
Cyprus,Consul honraire de France,"RCWW+JGR, Tala 8577, Cyprus",https://www.google.com/maps/place/?q=place_id:ChIJB8Jm6ZQJ5xQRcowV2ArAfMs
Czechia,"Embassy of France, Prague","Velkopřevorské nám. 2, 118 01 Malá Strana, Czechia",https://www.google.com/maps/place/?q=place_id:ChIJnU2zm-OUC0cRAWac32oXtpc
Germany,Embassy of France,"Pariser Platz 5, 10117 Berlin, Germany",https://www.google.com/maps/place/?q=place_id:ChIJfQBe6cZRqEcRzO3nNhy8UUo
Germany,Consulat Général de France,"Heimeranstraße 31, 80339 München, Germany",https://www.google.com/maps/place/?q=place_id:ChIJn4F-navYnUcRdMQs4ldYGHU
Djibouti,Embassy of France,"Boulevard Idriss Omar Guelleh, Djibouti",https://www.google.com/maps/place/?q=place_id:ChIJ_36dz-wAIxYRj_E_xYjVDB4
Dominica,Ambassade de France / Embassy of France,"Nelson Mandela Drive Vigie Castries, St. Lucia",https://www.google.com/maps/place/?q=place_id:ChIJ6RklV8JnQIwRTfzeOjHG_z8
Dominica,Embassy of France,"Edificio Corporativo 2015, C. Filomena Gomez de Cova, Santo Domingo, Dominican Republic",https://www.google.com/maps/place/?q=place_id:ChIJSz_RGhaIr44REnr60Zdua7w
