Country,Embassy Name,Embassy Address,Google Maps URL
Costa Rica,Embassy of Turkey,"Condominio Cortijo Apt. 25A, John F kennedy, San Rafael de Escazu, Costa Rica, Los Laureles, San José, Costa Rica",https://www.google.com/maps/place/?q=place_id:ChIJWdDR_Xz8oI8R7bfblmkK2xE
Cuba,Embassy of Turkey,"3805, La Habana, Cuba",https://www.google.com/maps/place/?q=place_id:ChIJsxH6kCh3zYgRSHB9ZfbTfrE
Cyprus,Embassy of Turkey,"59M5+9MG, Lefkoşa 99010",https://www.google.com/maps/place/?q=place_id:ChIJCxcTAkgX3hQRWLhjUlmjEMo
Czechia,Embassy of Turkey,"Sibiřské nám. 730/1, 160 00 Praha 6, Czechia",https://www.google.com/maps/place/?q=place_id:ChIJhVhE4GqVC0cRQTKOO8QhyVw
Germany,"Embassy of Turkey, Berlin","Tiergartenstraße 19-21, 10785 Berlin, Germany",https://www.google.com/maps/place/?q=place_id:ChIJOeVv3SROqEcROYAnmve2aeY
Germany,Consulate General of Turkey,"Menzinger Str. 3, 80638 München, Germany",https://www.google.com/maps/place/?q=place_id:ChIJ8Tbl2jV2nkcRaoPZVC8F5z0
Germany,General Consulate of the Republic of Turkey in Nuremberg,"Regensburger Str. 69, 90478 Nürnberg, Germany",https://www.google.com/maps/place/?q=place_id:ChIJsU9F9ndXn0cRVbg__Yp9D8o
Germany,Consulate General of Turkey,"Tesdorpfstraße 18, 20148 Hamburg, Germany",https://www.google.com/maps/place/?q=place_id:ChIJeUL3YCSPsUcR4xEXeGRIzf8
Djibouti,Embassy of Turkey,"H579+X6F, Djibouti",https://www.google.com/maps/place/?q=place_id:ChIJQeespFsHIxYRNbhAdNxOwbQ
Denmark,Embassy of Turkey,"Rosbæksvej 15, 2100 København, Denmark",https://www.google.com/maps/place/?q=place_id:ChIJnReaE2JSUkYRu3tcWGp9Rw0
Dominican Republic,Embassy of Turkey,"Av Selene 20, Santo Domingo, Dominican Republic",https://www.google.com/maps/place/?q=place_id:ChIJb4ufOhpipY4RyfgMap64mVg
Algeria,Embassy of Turkey,"21 Boulevard Colonel Bougara, El Biar 16000, Algeria",https://www.google.com/maps/place/?q=place_id:ChIJS3L8mGuyjxIR_-F49eiw5V0
Algeria,Embassy of the Republic of Kazakhstan in the Republic of Turkey,"Oran, Kılıç Ali Cd. No:6, 06450 Çankaya/Ankara, Türkiye",https://www.google.com/maps/place/?q=place_id:ChIJDc37cDZE0xQRNlBpIAURG7M
Algeria,Turkey Consulate,"Q26R+9R5, El Biar, Algeria",https://www.google.com/maps/place/?q=place_id:ChIJua2K22uyjxIRCt8eDob6w0c
Ecuador,"Consulate General of Pakistan in Istanbul, Turkey.","Konaklar, Zeki Müren Sok. No:2, 34330 4.Levent/Beşiktaş/İstanbul, Türkiye",https://www.google.com/maps/place/?q=place_id:ChIJTSC6gG22yhQRNmiRzlrjMkA
Ecuador,Embassy of Turkey,"35 Ilia Chavchavadze Avenue, Tbilisi 0179, Georgia",https://www.google.com/maps/place/?q=place_id:ChIJ81EVOzFzREARn82ejvWkfjk
Egypt,Embassy of Turkey,"25 El-Falaky St، Bab El-Louk, El Sayeda Zeinab, Cairo Governorate 4262124, Egypt",https://www.google.com/maps/place/?q=place_id:ChIJc9wAk8lAWBQRqqpUIHlWpiI
Western Sahara,Embassy of Turkey,"35 Ilia Chavchavadze Avenue, Tbilisi 0179, Georgia",https://www.google.com/maps/place/?q=place_id:ChIJ81EVOzFzREARn82ejvWkfjk
Spain,Embassy of Turkey,"C. de Rafael Calvo, 18, 2a b, 28010 Madrid, Spain",https://www.google.com/maps/place/?q=place_id:ChIJK_Z3yfIoQg0RBySA2ImNlcE
Estonia,Embassy of Turkey,"Narva mnt 30, 10152 Tallinn, Estonia",https://www.google.com/maps/place/?q=place_id:ChIJa7hJBlyTkkYR9GaHW7Vki98
Ethiopia,Embassy of Turkey,"Bole Kifle Ketema, Kebele 03, House No. 018, Addis Ababa, Ethiopia",https://www.google.com/maps/place/?q=place_id:ChIJH-JZw6qFSxYRRG2SjhEDFNg
Finland,Embassy of Turkey,"Puistokatu 1B A3, 00140 Helsinki, Finland",https://www.google.com/maps/place/?q=place_id:ChIJQXpvm7gLkkYRXm98l3MIbMY
Fiji,Embassy of Turkey,"35 Ilia Chavchavadze Avenue, Tbilisi 0179, Georgia",https://www.google.com/maps/place/?q=place_id:ChIJ81EVOzFzREARn82ejvWkfjk
France,Embassy of Turkey,"16 Av. de Lamballe, 75016 Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJd7xScgFw5kcR8906-lmfJxE
France,Consulate General of Turkey,"44 Rue de Sèvres, 92100 Boulogne-Billancourt, France",https://www.google.com/maps/place/?q=place_id:ChIJV5NXZx575kcRt9Ow7jAsaSo
